Time,Source,Destination,Length
5.4,172.30.1.250,172.30.1.1,323
5.5,172.30.1.250,172.30.1.1,328
5.6,172.30.1.1,172.30.1.250,340
5.7,172.30.1.250,172.30.1.1,408
5.8,172.30.1.250,172.30.1.1,398
5.9,172.30.1.1,172.30.1.250,419
6.0,172.30.1.250,172.30.1.1,441
6.1,172.30.1.250,172.30.1.1,302
6.2,172.30.1.250,172.30.1.1,329
6.3,172.30.1.250,172.30.1.1,437
6.4,172.30.1.250,172.30.1.1,496
6.5,172.30.1.250,172.30.1.1,328
6.6,172.30.1.1,172.30.1.250,340
6.7,172.30.1.1,172.30.1.250,484
6.8,172.30.1.250,172.30.1.1,367
6.9,172.30.1.250,172.30.1.1,495
7.0,172.30.1.1,172.30.1.250,327
7.1,172.30.1.250,172.30.1.1,376
7.2,172.30.1.250,172.30.1.1,429
7.3,172.30.1.250,172.30.1.1,339
7.4,172.30.1.1,172.30.1.250,341
7.5,172.30.1.250,172.30.1.1,499
7.6,172.30.1.250,172.30.1.1,300
7.7,172.30.1.250,172.30.1.1,425
7.8,172.30.1.1,172.30.1.250,392
7.9,172.30.1.250,172.30.1.1,378
8.0,172.30.1.1,172.30.1.250,361
8.1,172.30.1.250,172.30.1.1,320
8.2,172.30.1.1,172.30.1.250,424
8.3,172.30.1.250,172.30.1.1,494
8.4,172.30.1.250,172.30.1.1,332
8.5,172.30.1.1,172.30.1.250,421
8.6,172.30.1.250,172.30.1.1,342
8.7,172.30.1.1,172.30.1.250,455
8.8,172.30.1.1,172.30.1.250,354
8.9,172.30.1.250,172.30.1.1,493
9.0,172.30.1.250,172.30.1.1,351
9.1,172.30.1.250,172.30.1.1,402
9.2,172.30.1.250,172.30.1.1,466
9.3,172.30.1.1,172.30.1.250,432
9.4,172.30.1.1,172.30.1.250,363
9.5,172.30.1.1,172.30.1.250,386
9.6,172.30.1.1,172.30.1.250,441
9.7,172.30.1.1,172.30.1.250,356
9.8,172.30.1.1,172.30.1.250,481
9.9,172.30.1.250,172.30.1.1,358
10.0,172.30.1.1,172.30.1.250,308
10.1,172.30.1.250,172.30.1.1,318
10.2,172.30.1.250,172.30.1.1,371
10.3,172.30.1.250,172.30.1.1,354
10.4,172.30.1.250,172.30.1.1,485
10.5,172.30.1.250,172.30.1.1,446
10.6,172.30.1.250,172.30.1.1,362
10.7,172.30.1.250,172.30.1.1,404
10.8,172.30.1.1,172.30.1.250,324
10.9,172.30.1.250,172.30.1.1,390
11.0,172.30.1.1,172.30.1.250,419
11.1,172.30.1.250,172.30.1.1,313
11.2,172.30.1.250,172.30.1.1,465
11.3,172.30.1.1,172.30.1.250,403
11.4,172.30.1.250,172.30.1.1,327
11.5,172.30.1.1,172.30.1.250,348
11.6,172.30.1.250,172.30.1.1,335
11.7,172.30.1.1,172.30.1.250,371
11.8,172.30.1.1,172.30.1.250,319
11.9,172.30.1.1,172.30.1.250,440
12.0,172.30.1.1,172.30.1.250,466
12.1,172.30.1.250,172.30.1.1,303
12.2,172.30.1.250,172.30.1.1,492
12.3,172.30.1.250,172.30.1.1,342
12.4,172.30.1.1,172.30.1.250,423
12.5,172.30.1.1,172.30.1.250,402
12.6,172.30.1.250,172.30.1.1,342
12.7,172.30.1.1,172.30.1.250,399
12.8,172.30.1.1,172.30.1.250,500
12.9,172.30.1.250,172.30.1.1,373
13.0,172.30.1.1,172.30.1.250,487
13.1,172.30.1.250,172.30.1.1,442
13.2,172.30.1.250,172.30.1.1,424
13.3,172.30.1.1,172.30.1.250,375
13.4,172.30.1.1,172.30.1.250,314
13.5,172.30.1.250,172.30.1.1,438
13.6,172.30.1.1,172.30.1.250,380
13.7,172.30.1.1,172.30.1.250,449
13.8,172.30.1.1,172.30.1.250,435
13.9,172.30.1.1,172.30.1.250,430
14.0,172.30.1.1,172.30.1.250,347
14.1,172.30.1.1,172.30.1.250,317
14.2,172.30.1.250,172.30.1.1,360
14.3,172.30.1.1,172.30.1.250,445
14.4,172.30.1.1,172.30.1.250,452
14.5,172.30.1.1,172.30.1.250,320
14.6,172.30.1.1,172.30.1.250,449
14.7,172.30.1.250,172.30.1.1,380
14.8,172.30.1.250,172.30.1.1,352
14.9,172.30.1.250,172.30.1.1,380
15.0,172.30.1.1,172.30.1.250,401
15.1,172.30.1.1,172.30.1.250,465
15.2,172.30.1.1,172.30.1.250,380
15.3,172.30.1.250,172.30.1.1,318
15.4,172.30.1.1,172.30.1.250,459
15.5,172.30.1.250,172.30.1.1,325
15.6,172.30.1.1,172.30.1.250,354
15.7,172.30.1.250,172.30.1.1,333
15.8,172.30.1.250,172.30.1.1,317
15.9,172.30.1.250,172.30.1.1,394
16.0,172.30.1.1,172.30.1.250,412
16.1,172.30.1.250,172.30.1.1,480
16.2,172.30.1.1,172.30.1.250,467
16.3,172.30.1.250,172.30.1.1,470
16.4,172.30.1.250,172.30.1.1,376
16.5,172.30.1.250,172.30.1.1,326
16.6,172.30.1.250,172.30.1.1,334
16.7,172.30.1.1,172.30.1.250,327
16.8,172.30.1.250,172.30.1.1,339
16.9,172.30.1.1,172.30.1.250,454
17.0,172.30.1.1,172.30.1.250,387
17.1,172.30.1.1,172.30.1.250,462
17.2,172.30.1.250,172.30.1.1,429
17.3,172.30.1.1,172.30.1.250,313
17.4,172.30.1.1,172.30.1.250,408
17.5,172.30.1.250,172.30.1.1,311
17.6,172.30.1.1,172.30.1.250,497
17.7,172.30.1.1,172.30.1.250,367
17.8,172.30.1.1,172.30.1.250,413
17.9,172.30.1.250,172.30.1.1,409
18.0,172.30.1.250,172.30.1.1,328
18.1,172.30.1.1,172.30.1.250,476
18.2,172.30.1.250,172.30.1.1,439
18.3,172.30.1.1,172.30.1.250,394
18.4,172.30.1.250,172.30.1.1,337
18.5,172.30.1.1,172.30.1.250,310
18.6,172.30.1.1,172.30.1.250,310
18.7,172.30.1.250,172.30.1.1,353
18.8,172.30.1.250,172.30.1.1,470
18.9,172.30.1.1,172.30.1.250,499
19.0,172.30.1.250,172.30.1.1,404
19.1,172.30.1.250,172.30.1.1,491
19.2,172.30.1.1,172.30.1.250,360
19.3,172.30.1.250,172.30.1.1,345
19.4,172.30.1.250,172.30.1.1,306
19.5,172.30.1.1,172.30.1.250,385
19.6,172.30.1.250,172.30.1.1,405
19.7,172.30.1.250,172.30.1.1,488
19.8,172.30.1.250,172.30.1.1,368
19.9,172.30.1.1,172.30.1.250,479
20.0,172.30.1.1,172.30.1.250,309
20.1,172.30.1.250,172.30.1.1,356
20.2,172.30.1.1,172.30.1.250,417
20.3,172.30.1.1,172.30.1.250,358
20.4,172.30.1.1,172.30.1.250,468
20.5,172.30.1.1,172.30.1.250,384
20.6,172.30.1.1,172.30.1.250,317
20.7,172.30.1.250,172.30.1.1,371
20.8,172.30.1.1,172.30.1.250,430
20.9,172.30.1.1,172.30.1.250,437
21.0,172.30.1.1,172.30.1.250,307
21.1,172.30.1.1,172.30.1.250,366
21.2,172.30.1.1,172.30.1.250,367
21.3,172.30.1.1,172.30.1.250,452
21.4,172.30.1.1,172.30.1.250,486
21.5,172.30.1.250,172.30.1.1,411
21.6,172.30.1.250,172.30.1.1,430
21.7,172.30.1.1,172.30.1.250,447
21.8,172.30.1.1,172.30.1.250,311
21.9,172.30.1.250,172.30.1.1,300
22.0,172.30.1.250,172.30.1.1,437
22.1,172.30.1.250,172.30.1.1,489
22.2,172.30.1.250,172.30.1.1,350
22.3,172.30.1.1,172.30.1.250,317
22.4,172.30.1.250,172.30.1.1,384
22.5,172.30.1.250,172.30.1.1,469
22.6,172.30.1.250,172.30.1.1,484
22.7,172.30.1.250,172.30.1.1,429
22.8,172.30.1.1,172.30.1.250,404
22.9,172.30.1.1,172.30.1.250,478
23.0,172.30.1.1,172.30.1.250,332
23.1,172.30.1.1,172.30.1.250,470
23.2,172.30.1.250,172.30.1.1,473
23.3,172.30.1.250,172.30.1.1,344
23.4,172.30.1.250,172.30.1.1,377
23.5,172.30.1.1,172.30.1.250,300
23.6,172.30.1.1,172.30.1.250,353
23.7,172.30.1.1,172.30.1.250,448
23.8,172.30.1.250,172.30.1.1,382
23.9,172.30.1.1,172.30.1.250,413
24.0,172.30.1.250,172.30.1.1,430
24.1,172.30.1.1,172.30.1.250,488
24.2,172.30.1.1,172.30.1.250,321
24.3,172.30.1.1,172.30.1.250,469
24.4,172.30.1.250,172.30.1.1,385
24.5,172.30.1.1,172.30.1.250,492
24.6,172.30.1.1,172.30.1.250,379
24.7,172.30.1.1,172.30.1.250,350
24.8,172.30.1.1,172.30.1.250,311
24.9,172.30.1.1,172.30.1.250,421
25.0,172.30.1.250,172.30.1.1,496
25.1,172.30.1.1,172.30.1.250,406
25.2,172.30.1.250,172.30.1.1,447
25.3,172.30.1.1,172.30.1.250,478
25.4,172.30.1.1,172.30.1.250,402
25.5,172.30.1.1,172.30.1.250,467
25.6,172.30.1.250,172.30.1.1,492
25.7,172.30.1.250,172.30.1.1,327
25.8,172.30.1.250,172.30.1.1,356
25.9,172.30.1.1,172.30.1.250,478
26.0,172.30.1.250,172.30.1.1,312
26.1,172.30.1.250,172.30.1.1,331
26.2,172.30.1.1,172.30.1.250,418
26.3,172.30.1.250,172.30.1.1,443
26.4,172.30.1.250,172.30.1.1,493
26.5,172.30.1.250,172.30.1.1,456
26.6,172.30.1.250,172.30.1.1,429
26.7,172.30.1.1,172.30.1.250,440
26.8,172.30.1.1,172.30.1.250,340
26.9,172.30.1.250,172.30.1.1,421
27.0,172.30.1.1,172.30.1.250,492
27.1,172.30.1.1,172.30.1.250,463
27.2,172.30.1.1,172.30.1.250,499
27.3,172.30.1.250,172.30.1.1,460
27.4,172.30.1.1,172.30.1.250,412
27.5,172.30.1.1,172.30.1.250,373
27.6,172.30.1.1,172.30.1.250,385
27.7,172.30.1.1,172.30.1.250,438
27.8,172.30.1.1,172.30.1.250,338
27.9,172.30.1.1,172.30.1.250,477
28.0,172.30.1.1,172.30.1.250,354
28.1,172.30.1.1,172.30.1.250,404
28.2,172.30.1.1,172.30.1.250,419
28.3,172.30.1.1,172.30.1.250,352
28.4,172.30.1.250,172.30.1.1,399
28.5,172.30.1.250,172.30.1.1,449
28.6,172.30.1.250,172.30.1.1,305
28.7,172.30.1.250,172.30.1.1,495
28.8,172.30.1.250,172.30.1.1,422
28.9,172.30.1.1,172.30.1.250,390
29.0,172.30.1.1,172.30.1.250,399
29.1,172.30.1.250,172.30.1.1,407
29.2,172.30.1.250,172.30.1.1,488
29.3,172.30.1.250,172.30.1.1,454
29.4,172.30.1.250,172.30.1.1,424
29.5,172.30.1.1,172.30.1.250,411
29.6,172.30.1.1,172.30.1.250,399
29.7,172.30.1.1,172.30.1.250,473
29.8,172.30.1.250,172.30.1.1,485
29.9,172.30.1.1,172.30.1.250,419
30.0,172.30.1.250,172.30.1.1,459
30.1,172.30.1.250,172.30.1.1,400
30.2,172.30.1.250,172.30.1.1,469
30.3,172.30.1.1,172.30.1.250,464
30.4,172.30.1.1,172.30.1.250,418
30.5,172.30.1.1,172.30.1.250,366
30.6,172.30.1.1,172.30.1.250,354
30.7,172.30.1.1,172.30.1.250,386
30.8,172.30.1.250,172.30.1.1,397
30.9,172.30.1.1,172.30.1.250,407
31.0,172.30.1.1,172.30.1.250,320
31.1,172.30.1.1,172.30.1.250,491
31.2,172.30.1.250,172.30.1.1,389
31.3,172.30.1.1,172.30.1.250,317
31.4,172.30.1.250,172.30.1.1,466
31.5,172.30.1.1,172.30.1.250,307
31.6,172.30.1.250,172.30.1.1,351
31.7,172.30.1.250,172.30.1.1,459
31.8,172.30.1.1,172.30.1.250,332
31.9,172.30.1.1,172.30.1.250,329
32.0,172.30.1.250,172.30.1.1,355
32.1,172.30.1.1,172.30.1.250,365
32.2,172.30.1.250,172.30.1.1,342
32.3,172.30.1.250,172.30.1.1,491
32.4,172.30.1.250,172.30.1.1,499
32.5,172.30.1.250,172.30.1.1,379
32.6,172.30.1.1,172.30.1.250,306
32.7,172.30.1.250,172.30.1.1,447
32.8,172.30.1.250,172.30.1.1,396
32.9,172.30.1.1,172.30.1.250,483
33.0,172.30.1.1,172.30.1.250,451
33.1,172.30.1.250,172.30.1.1,460
33.2,172.30.1.1,172.30.1.250,478
33.3,172.30.1.250,172.30.1.1,475
33.4,172.30.1.250,172.30.1.1,330
33.5,172.30.1.250,172.30.1.1,444
33.6,172.30.1.250,172.30.1.1,388
33.7,172.30.1.250,172.30.1.1,469
33.8,172.30.1.1,172.30.1.250,429
33.9,172.30.1.250,172.30.1.1,303
34.0,172.30.1.250,172.30.1.1,425
34.1,172.30.1.1,172.30.1.250,392
34.2,172.30.1.250,172.30.1.1,417
34.3,172.30.1.250,172.30.1.1,411
34.4,172.30.1.1,172.30.1.250,433
34.5,172.30.1.250,172.30.1.1,369
34.6,172.30.1.250,172.30.1.1,437
34.7,172.30.1.250,172.30.1.1,419
34.8,172.30.1.1,172.30.1.250,487
34.9,172.30.1.250,172.30.1.1,382
35.0,172.30.1.250,172.30.1.1,322
35.1,172.30.1.1,172.30.1.250,415
35.2,172.30.1.1,172.30.1.250,418
35.3,172.30.1.250,172.30.1.1,471
35.4,172.30.1.1,172.30.1.250,307
35.5,172.30.1.1,172.30.1.250,383
35.6,172.30.1.1,172.30.1.250,354
35.7,172.30.1.1,172.30.1.250,366
35.8,172.30.1.1,172.30.1.250,452
35.9,172.30.1.250,172.30.1.1,370
36.0,172.30.1.250,172.30.1.1,432
36.1,172.30.1.250,172.30.1.1,321
36.2,172.30.1.1,172.30.1.250,404
36.3,172.30.1.1,172.30.1.250,494
36.4,172.30.1.1,172.30.1.250,421
36.5,172.30.1.250,172.30.1.1,425
36.6,172.30.1.1,172.30.1.250,304
36.7,172.30.1.1,172.30.1.250,356
36.8,172.30.1.1,172.30.1.250,362
36.9,172.30.1.1,172.30.1.250,448
37.0,172.30.1.1,172.30.1.250,441
37.1,172.30.1.250,172.30.1.1,408
37.2,172.30.1.250,172.30.1.1,440
37.3,172.30.1.1,172.30.1.250,479
37.4,172.30.1.1,172.30.1.250,378
37.5,172.30.1.1,172.30.1.250,330
37.6,172.30.1.250,172.30.1.1,380
37.7,172.30.1.1,172.30.1.250,437
37.8,172.30.1.250,172.30.1.1,476
37.9,172.30.1.1,172.30.1.250,355
38.0,172.30.1.250,172.30.1.1,370
38.1,172.30.1.250,172.30.1.1,494
38.2,172.30.1.250,172.30.1.1,372
38.3,172.30.1.250,172.30.1.1,349
38.4,172.30.1.1,172.30.1.250,392
38.5,172.30.1.1,172.30.1.250,303
38.6,172.30.1.250,172.30.1.1,332
38.7,172.30.1.1,172.30.1.250,313
38.8,172.30.1.250,172.30.1.1,478
38.9,172.30.1.250,172.30.1.1,463
39.0,172.30.1.250,172.30.1.1,425
39.1,172.30.1.1,172.30.1.250,303
39.2,172.30.1.250,172.30.1.1,420
39.3,172.30.1.1,172.30.1.250,387
39.4,172.30.1.1,172.30.1.250,313
39.5,172.30.1.1,172.30.1.250,422
39.6,172.30.1.1,172.30.1.250,316
39.7,172.30.1.1,172.30.1.250,318
39.8,172.30.1.250,172.30.1.1,475
39.9,172.30.1.1,172.30.1.250,338
40.0,172.30.1.250,172.30.1.1,377
40.1,172.30.1.1,172.30.1.250,363
40.2,172.30.1.1,172.30.1.250,495
40.3,172.30.1.1,172.30.1.250,452
40.4,172.30.1.250,172.30.1.1,357
40.5,172.30.1.250,172.30.1.1,397
40.6,172.30.1.1,172.30.1.250,413
40.7,172.30.1.1,172.30.1.250,450
40.8,172.30.1.250,172.30.1.1,378
40.9,172.30.1.250,172.30.1.1,315
41.0,172.30.1.250,172.30.1.1,489
41.1,172.30.1.1,172.30.1.250,495
41.2,172.30.1.1,172.30.1.250,354
41.3,172.30.1.1,172.30.1.250,320
41.4,172.30.1.1,172.30.1.250,344
41.5,172.30.1.250,172.30.1.1,340
41.6,172.30.1.1,172.30.1.250,415
41.7,172.30.1.250,172.30.1.1,420
41.8,172.30.1.1,172.30.1.250,359
41.9,172.30.1.1,172.30.1.250,372
42.0,172.30.1.250,172.30.1.1,416
42.1,172.30.1.1,172.30.1.250,359
42.2,172.30.1.250,172.30.1.1,460
42.3,172.30.1.250,172.30.1.1,350
42.4,172.30.1.1,172.30.1.250,439
42.5,172.30.1.1,172.30.1.250,338
42.6,172.30.1.250,172.30.1.1,336
42.7,172.30.1.1,172.30.1.250,342
42.8,172.30.1.250,172.30.1.1,452
42.9,172.30.1.250,172.30.1.1,445
43.0,172.30.1.250,172.30.1.1,412
43.1,172.30.1.1,172.30.1.250,476
43.2,172.30.1.1,172.30.1.250,403
43.3,172.30.1.250,172.30.1.1,428
43.4,172.30.1.250,172.30.1.1,412
43.5,172.30.1.1,172.30.1.250,310
43.6,172.30.1.250,172.30.1.1,488
43.7,172.30.1.1,172.30.1.250,364
43.8,172.30.1.1,172.30.1.250,358
43.9,172.30.1.250,172.30.1.1,447
44.0,172.30.1.250,172.30.1.1,305
44.1,172.30.1.250,172.30.1.1,472
44.2,172.30.1.250,172.30.1.1,447
44.3,172.30.1.1,172.30.1.250,493
44.4,172.30.1.1,172.30.1.250,432
44.5,172.30.1.250,172.30.1.1,371
44.6,172.30.1.1,172.30.1.250,449
44.7,172.30.1.1,172.30.1.250,425
44.8,172.30.1.250,172.30.1.1,420
44.9,172.30.1.1,172.30.1.250,385
45.0,172.30.1.1,172.30.1.250,326
45.1,172.30.1.250,172.30.1.1,384
45.2,172.30.1.1,172.30.1.250,426
45.3,172.30.1.1,172.30.1.250,402
45.4,172.30.1.250,172.30.1.1,440
45.5,172.30.1.1,172.30.1.250,322
45.6,172.30.1.1,172.30.1.250,382
45.7,172.30.1.1,172.30.1.250,497
45.8,172.30.1.1,172.30.1.250,431
45.9,172.30.1.250,172.30.1.1,300
46.0,172.30.1.250,172.30.1.1,438
46.1,172.30.1.1,172.30.1.250,313
46.2,172.30.1.1,172.30.1.250,392
46.3,172.30.1.250,172.30.1.1,427
46.4,172.30.1.250,172.30.1.1,494
46.5,172.30.1.1,172.30.1.250,368
46.6,172.30.1.250,172.30.1.1,373
46.7,172.30.1.1,172.30.1.250,478
46.8,172.30.1.1,172.30.1.250,307
46.9,172.30.1.250,172.30.1.1,455
47.0,172.30.1.250,172.30.1.1,481
47.1,172.30.1.1,172.30.1.250,441
47.2,172.30.1.1,172.30.1.250,404
47.3,172.30.1.1,172.30.1.250,329
47.4,172.30.1.1,172.30.1.250,330
47.5,172.30.1.250,172.30.1.1,339
47.6,172.30.1.1,172.30.1.250,483
47.7,172.30.1.1,172.30.1.250,480
47.8,172.30.1.1,172.30.1.250,423
47.9,172.30.1.250,172.30.1.1,362
48.0,172.30.1.1,172.30.1.250,337
48.1,172.30.1.1,172.30.1.250,453
48.2,172.30.1.250,172.30.1.1,334
48.3,172.30.1.250,172.30.1.1,370
48.4,172.30.1.250,172.30.1.1,406
48.5,172.30.1.1,172.30.1.250,429
48.6,172.30.1.1,172.30.1.250,300
48.7,172.30.1.1,172.30.1.250,376
48.8,172.30.1.250,172.30.1.1,448
48.9,172.30.1.250,172.30.1.1,425
49.0,172.30.1.250,172.30.1.1,414
49.1,172.30.1.250,172.30.1.1,388
49.2,172.30.1.1,172.30.1.250,495
49.3,172.30.1.250,172.30.1.1,416
49.4,172.30.1.250,172.30.1.1,348
49.5,172.30.1.250,172.30.1.1,361
49.6,172.30.1.250,172.30.1.1,359
49.7,172.30.1.250,172.30.1.1,405
49.8,172.30.1.1,172.30.1.250,490
49.9,172.30.1.1,172.30.1.250,397
50.0,172.30.1.1,172.30.1.250,469
50.1,172.30.1.250,172.30.1.1,466
50.2,172.30.1.250,172.30.1.1,426
50.3,172.30.1.250,172.30.1.1,332
50.4,172.30.1.250,172.30.1.1,451
50.5,172.30.1.1,172.30.1.250,325
50.6,172.30.1.250,172.30.1.1,412
50.7,172.30.1.1,172.30.1.250,416
50.8,172.30.1.1,172.30.1.250,336
50.9,172.30.1.1,172.30.1.250,467
51.0,172.30.1.250,172.30.1.1,319
51.1,172.30.1.1,172.30.1.250,367
51.2,172.30.1.1,172.30.1.250,477
51.3,172.30.1.1,172.30.1.250,320
51.4,172.30.1.250,172.30.1.1,472
51.5,172.30.1.250,172.30.1.1,397
51.6,172.30.1.250,172.30.1.1,460
51.7,172.30.1.250,172.30.1.1,494
51.8,172.30.1.1,172.30.1.250,438
51.9,172.30.1.1,172.30.1.250,317
52.0,172.30.1.1,172.30.1.250,475
52.1,172.30.1.250,172.30.1.1,358
52.2,172.30.1.250,172.30.1.1,411
52.3,172.30.1.250,172.30.1.1,494
52.4,172.30.1.250,172.30.1.1,325
52.5,172.30.1.1,172.30.1.250,477
52.6,172.30.1.1,172.30.1.250,307
52.7,172.30.1.1,172.30.1.250,314
52.8,172.30.1.1,172.30.1.250,395
52.9,172.30.1.1,172.30.1.250,362
53.0,172.30.1.250,172.30.1.1,444
53.1,172.30.1.250,172.30.1.1,346
53.2,172.30.1.1,172.30.1.250,320
53.3,172.30.1.250,172.30.1.1,397
53.4,172.30.1.250,172.30.1.1,361
53.5,172.30.1.1,172.30.1.250,449
53.6,172.30.1.1,172.30.1.250,418
53.7,172.30.1.250,172.30.1.1,417
53.8,172.30.1.1,172.30.1.250,302
53.9,172.30.1.250,172.30.1.1,419
54.0,172.30.1.250,172.30.1.1,473
54.1,172.30.1.250,172.30.1.1,318
54.2,172.30.1.1,172.30.1.250,388
54.3,172.30.1.250,172.30.1.1,376
54.4,172.30.1.250,172.30.1.1,408
54.5,172.30.1.250,172.30.1.1,416
54.6,172.30.1.250,172.30.1.1,350
54.7,172.30.1.250,172.30.1.1,423
54.8,172.30.1.1,172.30.1.250,397
54.9,172.30.1.250,172.30.1.1,447
55.0,172.30.1.1,172.30.1.250,479
55.1,172.30.1.1,172.30.1.250,468
55.2,172.30.1.1,172.30.1.250,302
55.3,172.30.1.250,172.30.1.1,475
55.4,172.30.1.250,172.30.1.1,312
55.5,172.30.1.250,172.30.1.1,490
55.6,172.30.1.1,172.30.1.250,373
55.7,172.30.1.250,172.30.1.1,358
55.8,172.30.1.250,172.30.1.1,390
55.9,172.30.1.1,172.30.1.250,348
56.0,172.30.1.250,172.30.1.1,473
56.1,172.30.1.250,172.30.1.1,496
56.2,172.30.1.250,172.30.1.1,335
56.3,172.30.1.250,172.30.1.1,460
56.4,172.30.1.250,172.30.1.1,379
56.5,172.30.1.250,172.30.1.1,308
56.6,172.30.1.250,172.30.1.1,487
56.7,172.30.1.1,172.30.1.250,375
56.8,172.30.1.1,172.30.1.250,406
56.9,172.30.1.1,172.30.1.250,333
57.0,172.30.1.250,172.30.1.1,393
57.1,172.30.1.250,172.30.1.1,369
57.2,172.30.1.250,172.30.1.1,365
57.3,172.30.1.250,172.30.1.1,423
57.4,172.30.1.250,172.30.1.1,375
57.5,172.30.1.250,172.30.1.1,386
57.6,172.30.1.250,172.30.1.1,419
57.7,172.30.1.250,172.30.1.1,336
57.8,172.30.1.250,172.30.1.1,357
57.9,172.30.1.250,172.30.1.1,485
58.0,172.30.1.250,172.30.1.1,401
58.1,172.30.1.250,172.30.1.1,442
58.2,172.30.1.1,172.30.1.250,401
58.3,172.30.1.1,172.30.1.250,437
58.4,172.30.1.1,172.30.1.250,394
58.5,172.30.1.250,172.30.1.1,472
58.6,172.30.1.1,172.30.1.250,397
58.7,172.30.1.250,172.30.1.1,395
58.8,172.30.1.1,172.30.1.250,359
58.9,172.30.1.1,172.30.1.250,458
59.0,172.30.1.250,172.30.1.1,443
59.1,172.30.1.1,172.30.1.250,456
59.2,172.30.1.1,172.30.1.250,316
59.3,172.30.1.250,172.30.1.1,418
59.4,172.30.1.250,172.30.1.1,377
59.5,172.30.1.250,172.30.1.1,329
59.6,172.30.1.1,172.30.1.250,309
59.7,172.30.1.1,172.30.1.250,426
59.8,172.30.1.1,172.30.1.250,360
59.9,172.30.1.250,172.30.1.1,334
60.0,172.30.1.1,172.30.1.250,394
60.1,172.30.1.250,172.30.1.1,490
60.2,172.30.1.250,172.30.1.1,438
60.3,172.30.1.1,172.30.1.250,490
60.4,172.30.1.250,172.30.1.1,406
60.5,172.30.1.250,172.30.1.1,425
60.6,172.30.1.250,172.30.1.1,371
60.7,172.30.1.1,172.30.1.250,394
60.8,172.30.1.1,172.30.1.250,413
60.9,172.30.1.250,172.30.1.1,392
61.0,172.30.1.1,172.30.1.250,475
61.1,172.30.1.1,172.30.1.250,465
61.2,172.30.1.1,172.30.1.250,401
61.3,172.30.1.1,172.30.1.250,331
61.4,172.30.1.250,172.30.1.1,416
61.5,172.30.1.1,172.30.1.250,354
61.6,172.30.1.250,172.30.1.1,452
61.7,172.30.1.250,172.30.1.1,312
61.8,172.30.1.250,172.30.1.1,362
61.9,172.30.1.250,172.30.1.1,444
62.0,172.30.1.1,172.30.1.250,495
62.1,172.30.1.250,172.30.1.1,450
62.2,172.30.1.1,172.30.1.250,359
62.3,172.30.1.1,172.30.1.250,337
62.4,172.30.1.250,172.30.1.1,452
62.5,172.30.1.1,172.30.1.250,337
62.6,172.30.1.250,172.30.1.1,438
62.7,172.30.1.1,172.30.1.250,344
62.8,172.30.1.1,172.30.1.250,306
62.9,172.30.1.1,172.30.1.250,391
63.0,172.30.1.250,172.30.1.1,360
63.1,172.30.1.250,172.30.1.1,304
63.2,172.30.1.1,172.30.1.250,313
63.3,172.30.1.1,172.30.1.250,407
63.4,172.30.1.250,172.30.1.1,490
