Time,machine,slice,direction,Source,Destination,Length
78.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,62.38
80.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,64.12
81.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,55.88
81.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,56.52
81.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,64.13
82.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,63.27
83.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,69.0
84.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,60.36
84.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,856.58
84.0,M5,mMTC,UL,10.0.0.5,192.168.0.1,60.0
85.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,58.11
85.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,367.46
85.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,63.65
85.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,59.93
85.5,M3,eMBB,DL,192.168.0.1,10.0.0.3,424.2
86.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,64.56
86.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,207.59
87.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,67.38
89.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,59.47
89.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,53.91
89.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,57.65
91.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,54.16
92.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,59.38
92.5,M5,mMTC,UL,10.0.0.5,192.168.0.1,40.0
94.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,56.76
94.0,M5,mMTC,UL,10.0.0.5,192.168.0.1,20.0
96.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,63.46
96.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,59.48
96.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,1285.41
98.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,68.52
98.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,59.41
99.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,54.12
99.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,58.53
100.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,53.51
100.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,71.71
100.0,M5,mMTC,UL,10.0.0.5,192.168.0.1,40.0
101.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,57.44
103.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,67.64
104.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,60.06
104.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,625.67
105.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,57.55
105.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,64.1
106.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,51.02
106.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,62.07
107.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,49.66
107.5,M3,eMBB,DL,192.168.0.1,10.0.0.3,461.61
109.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,57.92
110.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,52.38
110.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,273.88
112.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,63.19
113.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,54.49
113.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,55.09
113.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,60.33
115.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,65.11
115.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,50.84
115.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,458.17
115.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,327.31
116.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,60.3
117.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,59.03
117.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,70.25
119.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,54.1
119.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,65.44
121.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,63.15
122.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,57.73
122.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,449.37
123.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,58.62
125.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,67.68
125.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,59.78
126.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,70.25
127.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,59.88
127.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,339.91
127.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,63.23
128.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,65.84
128.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,348.18
129.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,64.39
129.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,965.82
129.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,62.28
129.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,61.3
129.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,310.62
131.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,61.26
131.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,59.49
132.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,61.76
132.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,379.56
134.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,62.11
134.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,60.16
136.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,59.15
136.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,1308.46
138.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,62.93
139.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,72.27
139.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,56.91
140.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,55.18
141.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,60.65
141.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,65.4
143.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,61.68
144.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,65.07
146.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,60.94
146.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,63.23
146.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,270.79
148.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,61.44
148.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,359.01
149.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,50.76
149.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,68.22
150.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,50.95
150.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,345.25
150.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,67.98
150.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,56.83
152.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,61.25
152.0,M5,mMTC,UL,10.0.0.5,192.168.0.1,20.0
152.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,62.78
152.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,66.11
153.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,61.93
153.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,70.1
155.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,63.81
155.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,347.48
155.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,109.41
155.0,M5,mMTC,UL,10.0.0.5,192.168.0.1,20.0
156.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,54.07
157.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,64.65
157.5,M3,eMBB,UL,10.0.0.3,192.168.0.1,355.16
159.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,59.16
161.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,66.48
161.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,56.56
161.0,M5,mMTC,UL,10.0.0.5,192.168.0.1,100.0
161.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,59.13
161.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,648.06
161.5,M5,mMTC,UL,10.0.0.5,192.168.0.1,20.0
162.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,53.25
162.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,76.77
162.0,M3,eMBB,UL,10.0.0.3,192.168.0.1,833.62
163.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,59.07
163.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,203.46
163.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,61.18
164.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,65.48
165.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,57.01
165.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,59.07
166.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,66.91
167.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,53.07
167.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,783.95
169.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,55.01
169.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,203.46
170.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,70.43
170.5,M5,mMTC,UL,10.0.0.5,192.168.0.1,20.0
172.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,48.19
172.0,M3,eMBB,UL,10.0.0.3,192.168.0.1,379.47
173.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,66.61
174.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,53.19
174.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,74.67
174.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,358.53
174.5,M5,mMTC,UL,10.0.0.5,192.168.0.1,20.0
175.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,56.04
177.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,68.82
177.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,440.8
177.0,M5,mMTC,UL,10.0.0.5,192.168.0.1,40.0
178.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,62.51
178.0,M5,mMTC,UL,10.0.0.5,192.168.0.1,100.0
180.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,55.78
180.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,55.36
182.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,63.56
184.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,59.65
184.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,72.77
185.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,58.03
185.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,69.92
187.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,49.8
187.5,M3,eMBB,DL,192.168.0.1,10.0.0.3,328.27
187.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,711.13
188.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,54.71
189.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,59.07
190.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,63.18
190.0,M5,mMTC,UL,10.0.0.5,192.168.0.1,60.0
191.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,57.02
191.5,M3,eMBB,DL,192.168.0.1,10.0.0.3,437.87
192.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,57.64
192.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,502.39
194.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,56.79
196.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,63.27
196.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,65.42
196.0,M5,mMTC,UL,10.0.0.5,192.168.0.1,20.0
197.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,62.74
197.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,61.36
198.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,57.46
198.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,53.5
198.5,M3,eMBB,UL,10.0.0.3,192.168.0.1,323.63
199.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,63.58
199.5,M5,mMTC,UL,10.0.0.5,192.168.0.1,40.0
201.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,66.81
202.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,58.79
202.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,54.52
202.5,M5,mMTC,UL,10.0.0.5,192.168.0.1,100.0
204.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,63.02
204.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,761.6
204.0,M5,mMTC,UL,10.0.0.5,192.168.0.1,20.0
204.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,63.32
204.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,51.71
206.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,55.08
206.5,M3,eMBB,DL,192.168.0.1,10.0.0.3,268.09
208.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,53.26
208.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,50.44
208.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,144.62
209.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,60.79
210.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,59.61
210.5,M3,eMBB,DL,192.168.0.1,10.0.0.3,821.16
212.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,50.87
212.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,62.49
214.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,67.01
214.0,M3,eMBB,UL,10.0.0.3,192.168.0.1,592.25
214.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,72.61
215.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,64.94
217.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,61.13
217.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,48.25
247.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,504.56
267.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,429.38
267.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,253.78
277.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,76.46
277.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,397.67
287.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,55.07
287.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,530.49
297.0,M3,eMBB,UL,10.0.0.3,192.168.0.1,472.72
307.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,62.6
307.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,576.07
307.0,M5,mMTC,DL,192.168.0.1,10.0.0.5,40.0
357.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,54.26
357.0,M5,mMTC,UL,10.0.0.5,192.168.0.1,20.0
857.0,M5,mMTC,UL,10.0.0.5,192.168.0.1,20.0
957.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,58.69
957.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,470.75
957.0,M5,mMTC,UL,10.0.0.5,192.168.0.1,40.0
1457.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,55.45
1457.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,63.57
1457.0,M5,mMTC,UL,10.0.0.5,192.168.0.1,60.0
1657.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,161.4
1657.0,M5,mMTC,UL,10.0.0.5,192.168.0.1,60.0
1757.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,60.93
1757.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,72.71
1757.0,M5,mMTC,UL,10.0.0.5,192.168.0.1,40.0
1807.0,M5,mMTC,UL,10.0.0.5,192.168.0.1,100.0
1808.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,63.21
1808.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,298.87
1809.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,60.93
1810.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,67.53
1810.5,M3,eMBB,DL,192.168.0.1,10.0.0.3,464.4
1812.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,73.29
1812.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,67.84
1812.5,M3,eMBB,DL,192.168.0.1,10.0.0.3,191.21
1813.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,59.25
1813.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,64.0
1813.0,M3,eMBB,UL,10.0.0.3,192.168.0.1,341.28
1813.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,1012.42
1814.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,61.6
1815.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,72.44
1815.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,214.33
1816.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,66.09
1816.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,64.52
1818.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,50.81
1818.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,500.85
1820.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,61.17
1820.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,71.26
1821.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,48.69
1823.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,71.64
1823.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,772.92
1824.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,67.81
1826.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,55.57
1826.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,395.6
1826.5,M5,mMTC,UL,10.0.0.5,192.168.0.1,20.0
1827.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,63.46
1828.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,58.46
1828.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,74.96
1828.5,M5,mMTC,UL,10.0.0.5,192.168.0.1,60.0
1830.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,51.1
1830.5,M5,mMTC,UL,10.0.0.5,192.168.0.1,20.0
1832.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,58.72
1832.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,64.41
1833.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,53.62
1833.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,68.54
1834.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,58.17
1834.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,74.81
1835.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,60.27
1837.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,62.2
1839.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,65.54
1841.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,53.89
1841.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,81.66
1842.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,64.19
1843.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,56.72
1844.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,61.89
1844.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,64.87
1846.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,66.25
1846.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,73.35
1847.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,72.41
1847.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,53.55
1849.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,57.13
