Time,machine,slice,direction,Source,Destination,Length,time_bin,time_bin_sa
62.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,58.3,0.0,62.0
64.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
65.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
67.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,67.65,0.0,67.0
69.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
69.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
70.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
71.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
73.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,67.39,0.0,73.0
73.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
75.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,61.52,0.0,75.0
77.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,61.22,0.0,77.0
78.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
80.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
81.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
81.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,64.13,0.0,81.0
82.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
83.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
84.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
85.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
85.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,59.93,0.0,85.0
86.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
87.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
89.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,53.91,0.0,89.0
89.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
91.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
92.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
94.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
96.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
96.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
98.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,59.41,0.0,98.0
99.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,58.53,0.0,99.0
100.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,71.71,100.0,100.0
101.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
103.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
104.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
105.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,64.1,100.0,105.0
106.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
106.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
107.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
109.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
110.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
112.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
113.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
113.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,60.33,100.0,113.0
115.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,50.84,100.0,115.0
116.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
117.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,70.25,100.0,117.0
119.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
119.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
121.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
122.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
123.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
125.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,59.78,100.0,125.0
126.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
127.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
127.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
128.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
129.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
129.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,61.3,100.0,129.0
131.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,59.49,100.0,131.0
132.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
134.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
134.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
136.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
138.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
139.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,56.91,100.0,139.0
140.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
141.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,65.4,100.0,141.0
143.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
144.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
146.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,63.23,100.0,146.0
148.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
149.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,68.22,100.0,149.0
150.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
150.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,56.83,100.0,150.0
152.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
152.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,66.11,100.0,152.0
153.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,70.1,100.0,153.0
155.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
156.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
157.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
159.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
161.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,56.56,100.0,161.0
161.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
162.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,76.77,100.0,162.0
163.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
163.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
164.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
165.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,59.07,100.0,165.0
166.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
167.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
169.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
170.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
172.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
173.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
174.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,74.67,100.0,174.0
175.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
177.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
178.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
180.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,55.36,100.0,180.0
182.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
184.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,72.77,100.0,184.0
185.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,69.92,100.0,185.0
187.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
188.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
189.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
190.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
191.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
192.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
194.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
196.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,65.42,100.0,196.0
197.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,61.36,100.0,197.0
198.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,53.5,100.0,198.0
199.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
201.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
202.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
202.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
204.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
204.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,51.71,200.0,204.0
206.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
208.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,50.44,200.0,208.0
209.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,60.79,200.0,209.0
210.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,59.61,200.0,210.0
212.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,62.49,200.0,212.0
214.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,67.01,200.0,214.0
214.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,72.61,200.0,214.0
215.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,64.94,200.0,215.0
217.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,48.25,200.0,217.0
247.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
267.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
277.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,76.46,200.0,277.0
287.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,55.07,200.0,287.0
297.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
307.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
357.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,54.26,300.0,357.0
857.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
957.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
1457.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,63.57,1400.0,1457.0
1657.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
1757.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,72.71,1700.0,1757.0
1807.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
1808.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,63.21,1800.0,1808.0
1809.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,60.93,1800.0,1809.0
1810.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,67.53,1800.0,1810.0
1812.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,73.29,1800.0,1812.0
1812.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,67.84,1800.0,1812.0
1813.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,64.0,1800.0,1813.0
1814.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,61.6,1800.0,1814.0
1815.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,72.44,1800.0,1815.0
1816.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,64.52,1800.0,1816.0
1818.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,50.81,1800.0,1818.0
1820.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,71.26,1800.0,1820.0
1821.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,48.69,1800.0,1821.0
1823.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,71.64,1800.0,1823.0
1824.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,67.81,1800.0,1824.0
1826.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,55.57,1800.0,1826.0
1827.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,63.46,1800.0,1827.0
1828.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,74.96,1800.0,1828.0
1830.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,51.1,1800.0,1830.0
1832.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,64.41,1800.0,1832.0
1833.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,68.54,1800.0,1833.0
1834.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,74.81,1800.0,1834.0
1835.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,60.27,1800.0,1835.0
1837.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,62.2,1800.0,1837.0
1839.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,65.54,1800.0,1839.0
1841.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,81.66,1800.0,1841.0
1842.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,64.19,1800.0,1842.0
1843.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,56.72,1800.0,1843.0
1844.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,64.87,1800.0,1844.0
1846.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,66.25,1800.0,1846.0
1846.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,73.35,1800.0,1846.0
1847.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,72.41,1800.0,1847.0
1847.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,53.55,1800.0,1847.0
1849.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,57.13,1800.0,1849.0
1850.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,66.55,1800.0,1850.0
1852.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,73.42,1800.0,1852.0
1854.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,72.63,1800.0,1854.0
1856.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,74.73,1800.0,1856.0
1856.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,71.98,1800.0,1856.0
1858.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,56.74,1800.0,1858.0
1858.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,61.76,1800.0,1858.0
1860.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,72.27,1800.0,1860.0
1861.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,70.16,1800.0,1861.0
1862.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,77.05,1800.0,1862.0
1862.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,69.82,1800.0,1862.0
1864.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,54.58,1800.0,1864.0
1865.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,69.01,1800.0,1865.0
1866.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,69.54,1800.0,1866.0
1867.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,63.51,1800.0,1867.0
1868.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,64.12,1800.0,1868.0
1869.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,69.66,1800.0,1869.0
1870.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,65.02,1800.0,1870.0
1871.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
1871.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
1873.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
1875.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
1877.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
1878.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
1879.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
1880.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
1882.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
1883.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,55.5,1800.0,1883.0
1884.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
1886.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
1887.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
1888.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
1889.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
1891.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,68.17,1800.0,1891.0
1892.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,62.84,1800.0,1892.0
1893.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
1894.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,68.77,1800.0,1894.0
1895.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
1896.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
1898.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
1899.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
1900.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
1901.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
1901.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
1903.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,75.89,1900.0,1903.0
1904.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
1905.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,69.59,1900.0,1905.0
1905.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
1907.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
1908.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,71.41,1900.0,1908.0
1908.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
1909.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
1910.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
1911.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,60.89,1900.0,1911.0
1912.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
1914.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
1914.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
1916.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,50.58,1900.0,1916.0
1917.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
1919.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,62.4,1900.0,1919.0
1919.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
1920.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
1920.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
1921.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
1923.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
1924.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,60.92,1900.0,1924.0
1925.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
1926.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,56.89,1900.0,1926.0
1926.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
1927.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,56.56,1900.0,1927.0
1928.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
1930.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,75.22,1900.0,1930.0
1930.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
1931.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
1933.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,59.55,1900.0,1933.0
1935.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
1937.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
1939.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
1941.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
1942.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,73.01,1900.0,1942.0
1943.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,73.4,1900.0,1943.0
1943.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
1944.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
1946.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
1947.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
1967.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
1987.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
2007.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,59.83,2000.0,2007.0
2008.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,67.63,2000.0,2008.0
2009.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,56.64,2000.0,2009.0
2029.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
2049.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
2054.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,65.4,2000.0,2054.0
2064.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,53.0,2000.0,2064.0
2069.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,62.21,2000.0,2069.0
2074.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
2079.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,68.84,2000.0,2079.0
2089.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
2109.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,66.92,2100.0,2109.0
2129.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
2134.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
2164.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
2184.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
2194.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
2204.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
2205.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,58.72,2200.0,2205.0
2206.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
2207.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
2208.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
2210.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
2210.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
2212.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,67.01,2200.0,2212.0
2213.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
2215.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,69.17,2200.0,2215.0
2216.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,75.27,2200.0,2216.0
2218.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
2219.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
2219.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
2221.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
2223.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,57.87,2200.0,2223.0
2225.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
2227.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
